"";"LETO";"DEJAVNOST";"REGIJA";"SKUPNO"
"250";"2015";"E OSKRBA Z VODO, RAVNANJE Z ODPLAKAMI IN ODPADKI, SANIRANJE OKOLJA";"Posavska";15052,63
"251";"2015";"E OSKRBA Z VODO, RAVNANJE Z ODPLAKAMI IN ODPADKI, SANIRANJE OKOLJA";"Primorsko-notranjska";19158,3
"252";"2015";"E OSKRBA Z VODO, RAVNANJE Z ODPLAKAMI IN ODPADKI, SANIRANJE OKOLJA";"Savinjska";17686,05
"253";"2015";"E OSKRBA Z VODO, RAVNANJE Z ODPLAKAMI IN ODPADKI, SANIRANJE OKOLJA";"Zasavska";16699,14
"254";"2015";"F GRADBENIŠTVO";"Gorenjska";14439,05
"255";"2015";"F GRADBENIŠTVO";"Goriška";15462,84
"256";"2015";"F GRADBENIŠTVO";"Jugovzhodna Slovenija";15057,24
"257";"2015";"F GRADBENIŠTVO";"Koroška";15453,09
"258";"2015";"F GRADBENIŠTVO";"Osrednjeslovenska";14686,7
"259";"2015";"F GRADBENIŠTVO";"Podravska";13250,71
"260";"2015";"F GRADBENIŠTVO";"Pomurska";15360,86
"261";"2015";"F GRADBENIŠTVO";"Posavska";13096,77
"262";"2015";"F GRADBENIŠTVO";"Primorsko-notranjska";14216,12
"263";"2015";"F GRADBENIŠTVO";"Savinjska";13667,05
"264";"2015";"F GRADBENIŠTVO";"Zasavska";13328,44
"265";"2015";"G TRGOVINA, VZDRŽEVANJE IN POPRAVILA MOTORNIH VOZIL";"Gorenjska";15651,64
"266";"2015";"G TRGOVINA, VZDRŽEVANJE IN POPRAVILA MOTORNIH VOZIL";"Goriška";15197,65
"267";"2015";"G TRGOVINA, VZDRŽEVANJE IN POPRAVILA MOTORNIH VOZIL";"Jugovzhodna Slovenija";14225,48
